student_id,age,gender,school_type,family_income,urban_rural,previous_exam_score,previous_gpa,attendance_percentage,assignment_completion_rate,class_participation,study_hours_per_day,self_study_hours,private_tuition,online_learning_hours,study_consistency,practice_tests_completed,sleep_hours,daily_screen_time,physical_activity_hours,stress_level,internet_access,online_course_hours,exam_difficulty,exam_preparation_days,questions_attempted,questions_correct,time_management_score,exam_anxiety_level,exam_score,performance_grade,pass_status,performance_level
STU_000001,20,Female,Public,Middle,Rural,78.36,2.95,81.49,65.18,Medium,4.94,2.63,0,1.75,Medium,8,6.31,3.8,0.93,10,1,2.15,Medium,27,95,86,,9.39,90.4,A,Pass,High
STU_000002,17,Male,Public,Middle,Suburban,73.4,2.89,,76.53,Low,3.42,2.64,0,1.97,Medium,10,6.81,4.04,0.21,8,1,4.37,Easy,4,100,86,87.17,6.31,86.21,A,Pass,High
STU_000003,18,Other,Public,Middle,Urban,82.76,3.35,100,70.39,Medium,1.06,0.83,0,3.4,Low,5,6.53,3.19,2.56,9,1,1.43,Easy,28,96,74,63.77,9.87,76.11,B,Pass,Medium
STU_000004,20,Male,Public,Middle,Suburban,60.61,2.57,84.91,75.06,Low,7.89,5.51,0,1.94,Medium,8,6.6,5.12,2.3,10,1,3.69,Medium,16,97,77,59.51,9.68,79.74,B,Pass,Medium
STU_000005,16,Female,Private,High,Suburban,74.79,2.84,88.21,61.54,Medium,2.63,2.29,0,0.58,Medium,1,7.83,4.82,0.49,10,1,1.97,Medium,28,98,52,84.64,10,50.66,D,Pass,Low
STU_000006,18,Male,Public,High,Rural,67.68,,97.11,65.46,Medium,3.18,1.67,1,1.02,Medium,6,8.83,8.37,1.64,6,1,1.08,Hard,27,96,65,55.27,6.12,67.9,C,Pass,Medium
STU_000007,18,Male,Charter,Middle,Urban,78.84,3,85.38,70.92,Medium,3.35,2.11,0,1.47,Medium,6,7.16,2.59,0.71,10,1,5.62,Hard,12,98,54,86.15,9.46,53.86,D,Pass,Low
STU_000008,20,Female,Private,Lower-Middle,Suburban,90.79,3.63,80.61,72.83,High,5.51,4.33,0,0.26,Low,9,8.22,6.86,0.09,10,0,4.78,Easy,7,94,91,88.08,10,97.61,A,Pass,High
STU_000009,15,Male,Public,Lower-Middle,Suburban,61.28,2.43,86.47,70.12,High,2.42,1.65,1,6.23,High,7,6.55,5.99,1.51,10,1,2.01,Hard,14,94,35,70.21,8.34,34.44,F,Fail,Low
STU_000010,16,Female,Public,Lower-Middle,Rural,61.33,2.72,89.61,61.53,Low,1.26,0.78,0,2.86,Medium,2,8.9,1.21,1.59,10,1,8.4,Hard,4,87,34,73.78,8.49,39.05,F,Fail,Low
